gsm	platelet	erythroid	neutrophil	monocyte	T_cell	B_cell
GSM3066029	0.7189433280650261	0.5835598705501619	0.64023481598555	0.864551817566042	0.7689546172951005	0.6059396402498682
GSM3066030	0.8372017761721982	0.6252908858282535	0.6498442086249718	0.8661955294648904	0.787198013095507	0.6286565816211336
GSM3066031	0.7947956649356513	0.6450425227666137	0.6651524046060058	0.871817566041996	0.7659573267103184	0.5915225408293818
GSM3066032	0.6297885150899374	0.7206683224204111	0.7084082185594944	0.8831293745766537	0.784821630164823	0.19931963573417621
GSM3066033	0.7832317302626628	0.7266711823586964	0.6926574847595393	0.8837118988484984	0.7561977873109054	0.1797305637088884
GSM3066034	0.6024836306163921	0.6330638970422215	0.6057213818017613	0.8391194400541881	0.798628358545947	0.7421238804846839
GSM3066035	0.7652743282908103	0.6191826597426053	0.6376337773763829	0.8453285165951683	0.7822759087830211	0.7281282456536464
GSM3066036	0.6312485888462405	0.6023210657033191	0.6468819146534208	0.8050937006096184	0.7108489501016031	0.6771009257168663
GSM3066037	0.6176525927598402	0.6229457364341087	0.6207766990291261	0.8763151953036803	0.7958229848724316	0.718955369910439
GSM3066038	0.7020358244901033	0.7030661548882366	0.5977421539850982	0.8951320839918719	0.748803341612102	0.685015428614435
GSM3066039	0.6029239105892978	0.591585760517799	0.5592820049672611	0.8718762700383835	0.771161661774667	0.6973492887785053
GSM3066040	0.2006961691879281	0.6881342665763526	0.6058342741025062	0.8741476631293748	0.7246048769473923	0.483067660118913
GSM3066041	0.15298411981636173	0.5969383608037933	0.5692797471212463	0.8742650711221498	0.7639365545269814	0.5779002032061415
GSM3066042	0.22070444795664934	0.5976036727628506	0.5991555655904268	0.9040099345224657	0.7351941747572814	0.4972168284789642
GSM3066043	0.5273124106269285	0.8163437946865357	0.6379860013547076	0.9150733799954842	0.7911944005418832	0.7084097237901703
GSM3066044	0.9413298713027771	0.7455467750432756	0.7975479792278164	0.8945856852562653	0.7246951907879882	0.6528667118235871
GSM3066045	0.7016783322044102	0.7486866862346657	0.6425603973808987	0.8916640325129825	0.7971833370964101	0.5495807932565664
GSM3066046	0.6671107097162636	0.6585504628584329	0.6789568751411152	0.885220139986453	0.7862384285391735	0.582403853390532
GSM3066047	0.7362346654624821	0.7036080379318135	0.6686114247008355	0.8997155114021222	0.7966470986678709	0.5713133137653343
GSM3066048	0.6808195981034093	0.7487137803868442	0.5668277263490631	0.9033461277940844	0.8310397380898622	0.23399412960036137
GSM3066049	0.895834274102506	0.7603251298261458	0.664574396026191	0.8956739670354481	0.8184296680966359	0.23716113494392999
GSM3066050	0.8386204560848949	0.6053616316700536	0.68758636261007	0.8527884398284038	0.7644050575750734	0.3355640851960566
GSM3066051	0.7055354858132008	0.7168480469631973	0.6571957552494923	0.8781124407315424	0.7963930909911945	0.5720900127944608
GSM3066052	0.8278618198238876	0.6859336193271619	0.6551185369157824	0.8882230751862721	0.7799954843079702	0.563001429969143
GSM3066053	0.673387521637691	0.8171596297132535	0.6282230751862723	0.8718311131180851	0.7627624745992323	0.7275803416873634
GSM3066054	0.7954767818168131	0.8062978851508997	0.5232287198013095	0.8624158952359451	0.7632987130277713	0.7091382554376457
GSM3066055	0.7239820877549483	0.5281342665763527	0.6027229622939714	0.8420727026416799	0.837310905396252	0.7348355535485815
GSM3066056	0.6749943553849631	0.5161104839316624	0.5917949875818467	0.8461413411605327	0.8076710318356288	0.6299661323097763
GSM3066057	0.7889892376006624	0.637426055543012	0.6535109505531722	0.8663129374576652	0.7910307067058024	0.5646511627906976
GSM3066058	0.7523368706254232	0.5368495521938736	0.6488372093023256	0.8628448859787763	0.7931135696545495	0.5950718747648078
GSM3066059	0.5706969218032663	0.5528200496726123	0.6222036577105441	0.821819823888011	0.8412282682321064	0.6728953112064424
GSM3066060	0.7505042522766614	0.6483991871754347	0.6074102506209076	0.8297358320162567	0.7750112892300745	0.6266696771280198
GSM3066061	0.5046549258673894	0.5494332806502598	0.5632467825694287	0.8552269135244976	0.7762531045382706	0.6503921125912546
GSM3066062	0.726951155264544	0.5445412809513062	0.6068503048092118	0.8520885075637843	0.8074621810792504	0.6696861594039285
GSM3066063	0.7336720102355685	0.57555806427335	0.566728381124407	0.8596748701738541	0.7801817566041995	0.6332957025664181
GSM3066064	0.16729133739745627	0.8446812674042297	0.6472160758636261	0.8703770602844887	0.7946714834048318	0.11857003085722861
GSM3066065	0.2806163919620681	0.8635689019342214	0.6404922104312487	0.8796929329419736	0.8035448182433957	0.18851207947617965
GSM3066066	0.016181229773462702	0.803699857003086	0.6743237751185369	0.8694874689546173	0.8441747572815532	0.1584285391736282
GSM3066067	0.7148114698577555	0.7373402573944456	0.6257710544140891	0.8684082185594946	0.8564743734477309	0.5329600361255364
GSM3066068	0.4127831715210355	0.5904146910514037	0.6279385865883946	0.8888417249943554	0.850045156920298	0.4996974486340031
GSM3066069	0.7457213818017612	0.7889606382178067	0.603151953036803	0.9008308873334836	0.8505701061187627	0.5670595318732594
GSM3066070	0.8598178670881313	0.7846255738691956	0.705378189207496	0.868986227139309	0.7993960261910138	0.6786452923910586
GSM3066071	0.6006321968841724	0.80344998871077	0.6896816437118989	0.856667419282005	0.8192029803567396	0.7207646571837134
GSM3066072	0.668766463460525	0.7723549333935424	0.6642944231203434	0.8681011515014678	0.8236396477760217	0.6999473169263188
GSM3066073	0.7089749379092343	0.8641499209753898	0.6839241363738995	0.9206999322646194	0.6095958455633326	0.5249190938511326
GSM3066074	0.7577180702942725	0.892613833069918	0.7057349288778503	0.9317137051253106	0.6634511176337772	0.5631218484232712
