estimand	estimate	bootstrap_95ci_low	bootstrap_95ci_high	bootstrap_replicates
responder_platelet_change	0.8861826509574865	0.49633587305742594	1.389535584760475	10000
between_group_platelet_change_difference	1.2571539793280664	0.07782315489617439	2.412895933940486	10000
overlap_free_multivariate_partial_r2	0.7705090869568169	0.5275468529257303	0.8878293722548065	10000
overlap_free_median_gene_correlation	0.9091880783508514	0.7330814342500568	0.9665480122866389	10000
overlap_free_median_attenuation	0.7133146269269193	0.08803675431180545	1.0676581734579234	10000
