model	n_samples	n_patients	design_columns	residual_df_classical	responder_x_week1_beta	classical_ols_se	classical_ols_t	classical_ols_p	patient_clustered_cr1_se	patient_clustered_cr1_t	patient_clustered_cr1_p	patient_clustered_reference_df	condition_number
base	46	17	21	25.0	1.2623768494870833	0.41977143013474433	3.0072957778042855	0.005933217279605142	0.77956366091299	1.619337730556404	0.12491454922364265	16	23.410613628362466
adjusted	46	17	27	19.0	1.330939164485408	0.3513125201215434	3.7884763230896064	0.001242012239113455	0.6833053541327841	1.9477956032915436	0.06920536325783602	16	69.05350131131355
