dataset	subject	group	lineage_score_change
GSE186294	1	EPO	1.7247774365644848
GSE186294	10	EPO	1.4702534764075563
GSE186294	2	EPO	0.3106692859163678
GSE186294	3	EPO	1.0354008271646302
GSE186294	4	EPO	0.8213275890732408
GSE186294	5	EPO	0.4098567748234616
GSE186294	6	EPO	1.4483879219763065
GSE186294	7	EPO	1.592361623931655
GSE186294	8	EPO	1.2328853228033692
GSE186294	9	EPO	1.8227684068833647
