dataset	lineage	paired_n	lineage_score_change	primary_test_p	partial_r2	bootstrap_partial_r2_low	bootstrap_partial_r2_high	median_gene_correlation	matched_set_empirical_p	matched_set_null_median	nested_lopo_predictive_r2	notes
GSE186294	erythroid	10	1.1868688665544438	0.001953125	0.3556935974240637	0.2693634564898447	0.6688532105774913	0.46318152602637364	0.0001999600079984003	-0.2110497707154133	0.06557260563356315	Base2 to EPO4; Illumina platform
GSE112594	B_cell	35	-1.9119763947143742	9.99990000099999e-06	0.19790252386417062	0.09087823521744688	0.3835745184502613	0.6637282844688113	0.0001999600079984003	0.06386857067863659	0.15838568840348688	Active n=25; placebo n=10; baseline to week 26
